"Exporter.ISO3","Importer.ISO3","lTrade.value.US"
"AGO","BEN",46.584
"AGO","CMR",6674.101
"AGO","COD",6112.498
"AGO","COG",62546.1
"AGO","GAB",74975.591
"AGO","GHA",1156.896
"AGO","GIN",101.199
"AGO","KEN",2.557
"AGO","MOZ",47041.19
"AGO","NAM",1935.268
"AGO","NGA",19.782
"AGO","STP",1150.756
"AGO","SWZ",81.738
"AGO","TGO",1967.563
"AGO","ZAF",224.784
"AGO","ZMB",127.458
"BDI","AGO",10456.92
"BDI","COD",4339.534
"BDI","COG",270.71
"BDI","KEN",380.58
"BDI","MAR",121.18
"BDI","RWA",353811.95
"BDI","TZA",15844.24
"BDI","UGA",843.73
"BDI","ZAF",10.24
"BEN","BFA",13498.803
"BEN","CIV",65.057
"BEN","COG",5717.326
"BEN","ETH",19.83
"BEN","GAB",7088.91
"BEN","GHA",6953.583
"BEN","GIN",20.588
"BEN","MLI",7321.62
"BEN","NAM",68.727
"BEN","NER",10622.46
"BEN","NGA",108409.39
"BEN","TCD",729749.683
"BEN","TGO",216015.684
"BEN","TZA",39
"BEN","ZAF",120.591
"BFA","BEN",1728.055
"BFA","CIV",2971.1
"BFA","ETH",4.5
"BFA","GHA",4636.199
"BFA","KEN",51.93
"BFA","MLI",48033.31
"BFA","NER",450749.277
"BFA","NGA",35.91
"BFA","RWA",1160.86
"BFA","SEN",290.146
"BFA","TGO",15570.817
"BFA","UGA",11
"BFA","ZAF",478.073
"BWA","CMR",136891.623
"BWA","COD",24322.371
"BWA","ERI",11596.879
"BWA","ETH",505.27
"BWA","GHA",1182.23
"BWA","GIN",697542.137
"BWA","KEN",224574.49
"BWA","LBR",21.384
"BWA","LSO",3688.747
"BWA","MOZ",564090.45
"BWA","MUS",59213.139
"BWA","MWI",451376.054
"BWA","NAM",1404287.611
"BWA","RWA",5.113
"BWA","SDN",119744.243
"BWA","SWZ",198056.48
"BWA","TCD",101.832
"BWA","TZA",19343
"BWA","UGA",13450.35
"BWA","ZAF",731994.558
"BWA","ZMB",2657933.566
"BWA","ZWE",2194871.69
"CAF","ZAF",1.107
"CIV","AGO",43529.121
"CIV","BDI",1505.28
"CIV","BEN",2083764.76
"CIV","BFA",6844804.882
"CIV","CAF",16795.956
"CIV","CMR",101005.909
"CIV","COD",30710.374
"CIV","COG",289998.56
"CIV","DJI",840.04
"CIV","DZA",390105.128
"CIV","ETH",148.64
"CIV","GAB",1140935.923
"CIV","GHA",4103309.17
"CIV","GIN",2083500.656
"CIV","GMB",21802.423
"CIV","GNB",119836.723
"CIV","GNQ",147762.602
"CIV","KEN",1453.16
"CIV","LBR",1068601.954
"CIV","LSO",95.861
"CIV","MAR",224.6
"CIV","MDG",2766.205
"CIV","MLI",12643632.49
"CIV","MOZ",463481.86
"CIV","MRT",3150.8
"CIV","MUS",2075.848
"CIV","NAM",26608.28
"CIV","NER",9522463.005
"CIV","NGA",145613.17
"CIV","RWA",8063.72
"CIV","SDN",78528.378
"CIV","SEN",7912463.491
"CIV","SLE",364741.523
"CIV","SOM",32911.116
"CIV","SWZ",480.65
"CIV","TCD",660391.119
"CIV","TGO",5871837.94
"CIV","TUN",6047.921
"CIV","TZA",6013.691
"CIV","UGA",117629.68
"CIV","ZAF",15881.778
"CIV","ZMB",2155.261
"CIV","ZWE",4651.067
"CMR","AGO",8000.951
"CMR","BEN",223862.157
"CMR","BFA",352185.925
"CMR","BWA",551.255
"CMR","CAF",1732986.881
"CMR","CIV",324574.786
"CMR","COD",139930.38
"CMR","COG",6739460.195
"CMR","ETH",205.08
"CMR","GHA",24.1
"CMR","MDG",36.233
"CMR","MLI",547.98
"CMR","MRT",10.73
"CMR","NAM",0.069
"CMR","NER",4120.123
"CMR","RWA",816.33
"CMR","SEN",3397.701
"CMR","SYC",19.051
"CMR","UGA",11
"CMR","ZAF",30.926
"COD","AGO",373154.545
"COD","BDI",10401.49
"COD","BEN",9492.404
"COD","CIV",2.406
"COD","CMR",223983.42
"COD","COG",3745.04
"COD","ETH",23.61
"COD","GAB",209000.576
"COD","KEN",102517.563
"COD","MDG",1448.23
"COD","MWI",38286.988
"COD","NGA",16326.315
"COD","RWA",29671.01
"COD","SWZ",89.14
"COD","UGA",166373.52
"COD","ZAF",227347.571
"COD","ZWE",14.95
"COG","AGO",100870.592
"COG","CAF",3468.949
"COG","CIV",467.805
"COG","CMR",15826.801
"COG","COD",39583.359
"COG","GAB",207245.471
"COG","GHA",4877.185
"COG","GNQ",79611.16
"COG","KEN",114449.11
"COG","MAR",313.697
"COG","RWA",17012.68
"CPV","AGO",17042.299
"CPV","SEN",2516.188
"CPV","STP",8186.937
"DJI","BDI",378.2
"DJI","ETH",362500.88
"DJI","KEN",102.48
"DZA","BEN",18531.302
"DZA","BFA",20750.804
"DZA","CIV",314572.716
"DZA","COG",6422.697
"DZA","EGY",30.617
"DZA","LBY",524609
"DZA","MAR",259802.021
"DZA","MLI",71873.93
"DZA","MRT",469765.25
"DZA","NAM",5303.023
"DZA","NER",1051091.656
"DZA","TGO",1265.546
"DZA","TUN",42023.773
"DZA","TZA",21
"DZA","ZAF",99663.203
"EGY","AGO",735285.127
"EGY","BDI",219773.79
"EGY","BEN",8075.664
"EGY","BFA",248870.297
"EGY","BWA",141.942
"EGY","CIV",1084079.41
"EGY","CMR",665354.084
"EGY","COD",156630.976
"EGY","COG",45671.265
"EGY","DJI",5374190.987
"EGY","DZA",8051296.234
"EGY","ERI",806249.033
"EGY","ETH",9051047.33
"EGY","GAB",181273.951
"EGY","GHA",729045.432
"EGY","GIN",12364.115
"EGY","GMB",5291.038
"EGY","KEN",35069916.26
"EGY","LBY",38853900
"EGY","LSO",20516.143
"EGY","MAR",8542936.099
"EGY","MDG",461708.725
"EGY","MLI",429132.01
"EGY","MOZ",56416.13
"EGY","MRT",73526.16
"EGY","MUS",1818194.861
"EGY","NAM",13287.674
"EGY","NER",1023248.288
"EGY","NGA",2387449.39
"EGY","RWA",472108.81
"EGY","SDN",32310657.008
"EGY","SEN",1084481.021
"EGY","SLE",98.542
"EGY","SOM",5124683.035
"EGY","STP",259615.855
"EGY","SWZ",108.12
"EGY","SYC",39387.157
"EGY","TCD",1068598.535
"EGY","TGO",61741.231
"EGY","TUN",20625139.256
"EGY","TZA",3425317.56
"EGY","UGA",8251492.5
"EGY","ZAF",4509006.329
"EGY","ZMB",100853.078
"ETH","AGO",715597.322
"ETH","BDI",24246.75
"ETH","BEN",6136.754
"ETH","BFA",45806.833
"ETH","BWA",19.838
"ETH","CIV",108293.396
"ETH","COM",682.158
"ETH","DJI",78155.63
"ETH","GHA",6793.21
"ETH","KEN",1028.65
"ETH","MOZ",1390.79
"ETH","MWI",172.17
"ETH","NER",137828.66
"ETH","NGA",457621.2
"ETH","RWA",13334.39
"ETH","SDN",182.16
"ETH","SEN",24368.333
"ETH","SOM",215474.81
"ETH","SSD",27996.27
"ETH","SWZ",311.03
"ETH","TCD",121817.3
"ETH","TZA",5157
"ETH","UGA",10053.23
"ETH","ZAF",3574.547
"ETH","ZMB",10250.547
"ETH","ZWE",67.13
"GAB","AGO",5590.312
"GAB","COG",221309.97
"GAB","MOZ",20.96
"GAB","RWA",1047.57
"GAB","ZAF",559.85
"GHA","AGO",19158.237
"GHA","BEN",978690.479
"GHA","BFA",1960906.576
"GHA","BWA",1664.366
"GHA","CAF",91592.739
"GHA","CIV",5292996.721
"GHA","CMR",16374.872
"GHA","COG",27638.115
"GHA","CPV",9096.15
"GHA","ETH",5072.95
"GHA","GAB",24947.005
"GHA","GIN",48708.436
"GHA","GMB",157874.087
"GHA","GNQ",22595.044
"GHA","KEN",6077.21
"GHA","LBR",1996245.082
"GHA","LSO",2.768
"GHA","MDG",75986.924
"GHA","MLI",95286.01
"GHA","MOZ",8565.81
"GHA","MUS",18867.996
"GHA","MWI",329.709
"GHA","NAM",2634.233
"GHA","NER",1580578.575
"GHA","NGA",1185687.4
"GHA","RWA",1220.59
"GHA","SDN",324.828
"GHA","SEN",2126591.892
"GHA","SLE",203767.907
"GHA","SOM",513.412
"GHA","SWZ",1929.14
"GHA","TCD",30870.003
"GHA","TGO",416246.877
"GHA","TZA",12295.03
"GHA","UGA",22890.73
"GHA","ZAF",17927.529
"GHA","ZMB",9153.311
"GHA","ZWE",11938.35
"GIN","AGO",1489.928
"GIN","COD",906.618
"GIN","GHA",46.018
"GIN","LSO",93.068
"GIN","MLI",13025.41
"GIN","MRT",13933.38
"GIN","NER",20174.418
"GIN","SEN",16263.906
"GIN","UGA",11
"GIN","ZAF",46.008
"GMB","GHA",24646.168
"GMB","GNB",11153.536
"GMB","MLI",1118.19
"GMB","SEN",36220.536
"GMB","ZWE",11.5
"GNB","CPV",7.32
"GNQ","AGO",12.28
"GNQ","STP",1442.009
"KEN","AGO",162424.42
"KEN","BDI",4433692.92
"KEN","BEN",80122.37
"KEN","BFA",3591.626
"KEN","BWA",1844654.253
"KEN","CAF",281136.031
"KEN","CIV",101093.648
"KEN","CMR",30439.64
"KEN","COD",2552578.384
"KEN","COG",272.537
"KEN","COM",26792.424
"KEN","DJI",2249021.94
"KEN","EGY",4.91
"KEN","ERI",3322.1
"KEN","ETH",5662255.1
"KEN","GAB",45.51
"KEN","GHA",1128315.895
"KEN","GIN",250.5
"KEN","GMB",4955.02
"KEN","GNB",403.21
"KEN","LBR",9944.69
"KEN","LSO",104000.057
"KEN","MDG",325904.912
"KEN","MLI",52810.69
"KEN","MOZ",1215514.41
"KEN","MRT",7457.16
"KEN","MUS",1682671.716
"KEN","MWI",8334888.659
"KEN","NAM",205566.341
"KEN","NER",67478.246
"KEN","NGA",1723178.2
"KEN","RWA",32316693.32
"KEN","SDN",1967585.49
"KEN","SEN",8878.074
"KEN","SLE",24046.34
"KEN","SOM",11438396.2
"KEN","SSD",4983622.14
"KEN","SWZ",88534.23
"KEN","SYC",129216.879
"KEN","TCD",15644.45
"KEN","TGO",113464.21
"KEN","TZA",62832543
"KEN","UGA",37482237.86
"KEN","ZAF",36795.153
"KEN","ZMB",8037977.216
"KEN","ZWE",1745536.09
"LBR","AGO",1892039.584
"LBR","CIV",111.958
"LBR","COD",243.677
"LBR","GHA",16.435
"LBR","MLI",10227.64
"LBR","NGA",143904.29
"LBY","GHA",37.823
"LBY","MAR",142.975
"LBY","NER",3935.87
"LSO","BWA",9368.943
"LSO","ETH",121.3
"LSO","GMB",396.8
"LSO","LBR",4.013
"LSO","NGA",172.989
"LSO","SLE",3243.91
"LSO","SWZ",332376.51
"LSO","TZA",2150
"LSO","ZAF",31225.499
"LSO","ZWE",320.051
"MAR","AGO",140969.363
"MAR","BDI",200587.72
"MAR","BEN",472379.421
"MAR","BFA",1753977.238
"MAR","BWA",66292.81
"MAR","CAF",4055.409
"MAR","CIV",15502382.044
"MAR","CMR",1176058.815
"MAR","COD",68509.199
"MAR","COG",39880.6
"MAR","CPV",37234.88
"MAR","DJI",285068.222
"MAR","DZA",1149936.532
"MAR","EGY",82399.974
"MAR","ETH",2301.8
"MAR","GAB",349929.823
"MAR","GHA",394040.564
"MAR","GIN",888524.821
"MAR","GMB",6709.118
"MAR","GNB",641964.923
"MAR","GNQ",573368.3
"MAR","KEN",388427.48
"MAR","LBY",4681023
"MAR","MDG",14257.824
"MAR","MLI",581057.77
"MAR","MOZ",1162.827
"MAR","MRT",2455455.64
"MAR","MUS",568473.752
"MAR","NER",3040553.993
"MAR","NGA",101575.84
"MAR","RWA",719017.9
"MAR","SDN",442022.048
"MAR","SEN",14708836.394
"MAR","SYC",3364.127
"MAR","TCD",170936.14
"MAR","TGO",46697.08
"MAR","TUN",5010643.326
"MAR","TZA",22.99
"MAR","UGA",24445
"MAR","ZAF",1917.896
"MAR","ZMB",90.354
"MDG","CMR",33.38
"MDG","COM",129932.896
"MDG","GHA",9.952
"MDG","MAR",110.54
"MDG","MUS",98.008
"MDG","NER",11528.725
"MDG","ZAF",154.768
"MLI","BDI",47500.44
"MLI","BEN",1051346.798
"MLI","BFA",777625.671
"MLI","CAF",8155.364
"MLI","CIV",753299.96
"MLI","COG",125710.247
"MLI","ETH",25.97
"MLI","GHA",55294.19
"MLI","GIN",1887098.1
"MLI","GMB",47122.4
"MLI","LBR",193.11
"MLI","MRT",231584.66
"MLI","NER",542529.426
"MLI","RWA",54.66
"MLI","SEN",42.649
"MLI","SLE",409.73
"MLI","SYC",455.892
"MLI","TCD",256363.32
"MLI","TGO",74281.008
"MLI","ZAF",29.888
"MOZ","AGO",167.85
"MOZ","BWA",11640.57
"MOZ","CMR",86417.95
"MOZ","COM",544.06
"MOZ","ERI",273.51
"MOZ","KEN",2841.32
"MOZ","LBR",4090.31
"MOZ","MWI",2266.918
"MOZ","NAM",0.967
"MOZ","SWZ",2378.48
"MOZ","ZAF",1724.107
"MOZ","ZMB",173351.376
"MOZ","ZWE",225205.3
"MRT","AGO",399.047
"MRT","BDI",54.39
"MRT","BEN",170.319
"MRT","GHA",1066.222
"MRT","MLI",109644.4
"MRT","NER",155.139
"MUS","BEN",1285.182
"MUS","BFA",43700.188
"MUS","CIV",256505.479
"MUS","CMR",5634.561
"MUS","COG",670.85
"MUS","COM",689546.771
"MUS","ERI",7136.729
"MUS","GHA",30667.268
"MUS","KEN",408038.36
"MUS","MDG",13845608.104
"MUS","MOZ",576250.19
"MUS","NER",311.324
"MUS","NGA",806377.33
"MUS","RWA",4934
"MUS","SEN",15652.54
"MUS","SWZ",466736.83
"MUS","SYC",1375069.987
"MUS","TGO",1535.985
"MUS","TZA",50
"MUS","ZAF",2965629.907
"MUS","ZMB",4983.462
"MUS","ZWE",5444493.75
"MWI","BWA",6672.294
"MWI","COD",28.167
"MWI","COM",800.488
"MWI","GHA",9.691
"MWI","KEN",17796.46
"MWI","MOZ",50701.55
"MWI","NAM",3394.359
"MWI","SWZ",45.27
"MWI","TZA",66651.65
"MWI","UGA",11
"MWI","ZAF",2320.764
"MWI","ZMB",1429555.147
"MWI","ZWE",428.6
"NAM","AGO",786705.616
"NAM","BWA",710650.853
"NAM","COD",984377.781
"NAM","COG",189.209
"NAM","EGY",98.223
"NAM","ETH",230.832
"NAM","GHA",4.145
"NAM","GIN",162.282
"NAM","GNQ",9804.766
"NAM","KEN",136.691
"NAM","LSO",994.354
"NAM","MOZ",7052.83
"NAM","MUS",1180.683
"NAM","MWI",20.406
"NAM","NAM",0
"NAM","NGA",899.16
"NAM","SLE",80.997
"NAM","SWZ",10588.03
"NAM","TZA",60.79
"NAM","UGA",287.606
"NAM","ZAF",285418.217
"NAM","ZMB",463.727
"NAM","ZWE",350665.96
"NER","AGO",146.045
"NER","BEN",622.322
"NER","BFA",8058.482
"NER","CIV",666.226
"NER","GHA",146.428
"NER","MLI",342280.523
"NER","NGA",163624.868
"NER","TCD",1673224.661
"NGA","AGO",29924.493
"NGA","BEN",169363.7
"NGA","BFA",2778.187
"NGA","BWA",5769.203
"NGA","CAF",3560.876
"NGA","CIV",894721.542
