node,partition
101,3
104,2
105,1
106,2
107,1
112,3
113,3
117,0
118,0
119,4
120,1
121,0
122,1
124,0
126,0
127,4
128,3
129,1
135,1
136,0
137,3
139,0
140,1
141,2
142,0
145,3
147,3
148,1
150,2
152,0
153,2
154,0
155,4
102,1
110,0
116,2
130,4
131,4
132,2
134,0
146,4
156,2
138,4
109,0
111,0
115,2
123,0
125,0
144,0
151,0
133,0
143,3
