node,partition
101,1
104,3
105,1
106,3
107,2
112,1
113,1
117,2
118,2
119,2
120,2
121,1
122,1
126,2
127,2
128,1
129,2
134,0
135,3
136,0
137,1
139,2
140,1
145,1
147,1
148,1
150,3
152,0
153,3
154,0
155,2
102,1
116,3
131,2
132,3
141,3
142,0
130,3
146,2
109,0
111,0
115,3
123,0
124,0
125,0
133,0
138,2
151,0
156,3
144,0
110,0
