node,partition
101,1
104,2
105,1
106,2
107,3
112,1
113,1
117,3
118,0
119,3
120,3
121,0
122,1
124,0
126,0
127,3
128,1
129,3
130,2
131,3
135,2
136,0
137,1
139,0
140,1
141,2
142,0
145,1
147,1
148,1
150,2
152,0
154,0
155,3
102,1
153,2
116,2
132,2
156,2
110,0
125,0
138,3
146,3
109,0
111,0
115,2
123,0
134,0
144,0
151,0
133,0
