orgState,destState,flows
107,128,3
107,127,2
107,126,14
107,122,5
107,121,5
107,120,122
138,139,1
138,136,3
107,119,69
138,131,8
107,118,10
138,130,15
107,117,30
107,116,19
107,113,5
146,156,4
146,155,39
146,153,13
146,150,1
138,129,5
138,127,58
138,126,6
107,106,40
107,105,17
107,104,11
123,156,4
146,148,1
123,155,34
123,153,12
123,151,17
146,142,6
146,141,8
138,119,28
138,118,4
138,117,7
123,148,5
146,139,12
123,146,4
146,138,119
123,144,16
146,136,3
123,142,18
123,141,3
123,140,5
146,131,40
146,130,9
138,107,2
138,106,2
154,156,6
154,155,5
154,153,10
154,152,886
123,139,5
154,151,1
154,150,25
146,129,9
123,136,15
146,127,67
123,134,6
146,126,11
123,133,69
123,131,8
146,120,25
115,106,5
131,156,33
154,148,34
131,155,63
154,147,9
131,154,11
154,146,3
131,153,79
131,152,9
131,150,27
154,142,142
123,129,3
154,140,2
123,127,51
146,119,143
123,126,23
146,118,9
123,125,186
146,117,24
146,116,1
123,120,7
131,148,20
131,147,7
154,139,460
131,146,62
154,138,1
154,137,5
154,136,19
131,142,29
131,141,72
131,140,19
123,119,18
154,131,50
123,117,19
146,107,2
146,106,10
123,111,1
131,139,64
131,138,17
154,129,91
131,136,40
131,135,1
131,134,5
154,127,27
154,126,37
131,132,5
154,124,86
154,123,2
131,130,20
123,109,7
154,121,190
154,120,152
123,107,6
123,106,31
131,129,232
131,127,37
154,119,69
131,126,33
154,118,45
154,117,56
154,116,11
131,122,1
131,121,5
154,113,3
131,120,646
131,119,587
131,118,77
131,117,254
131,116,20
154,107,11
154,106,26
154,105,17
154,101,5
131,107,110
131,106,77
131,105,14
131,104,4
119,156,35
119,155,308
119,154,48
119,153,133
119,152,14
119,151,5
119,150,37
119,148,68
119,147,12
119,146,585
119,142,115
119,141,219
119,140,45
119,139,247
119,138,100
119,136,83
119,134,12
119,133,5
119,132,10
119,131,2133
119,130,46
127,156,2
127,155,355
127,154,10
127,153,69
127,152,3
127,151,1
127,150,21
119,129,1063
119,128,5
119,127,461
119,126,82
119,125,21
119,124,10
119,123,6
119,122,9
119,121,24
119,120,2462
127,148,22
127,147,2
127,146,356
104,150,208
127,142,18
127,141,42
127,140,2
119,118,277
119,117,802
119,116,49
119,112,11
119,111,6
119,110,37
104,148,18
127,139,32
127,138,192
127,136,38
104,140,5
127,131,101
127,130,26
119,109,8
119,107,198
119,106,213
119,105,39
119,104,7
119,101,6
135,150,19
127,129,55
104,135,62
127,126,71
127,125,12
127,123,18
127,121,8
127,120,101
112,155,2
135,148,52
112,152,9
104,129,9
135,140,1
127,119,309
127,118,30
127,117,94
127,116,10
104,122,2
127,111,1
112,148,47
112,147,10
112,145,24
135,131,5
104,117,2
104,116,4
127,109,1
127,107,21
104,113,1
