orgState,destState,flows
127,106,49
127,105,4
112,139,1
112,137,13
112,136,5
135,129,10
135,126,3
135,120,9
104,107,4
104,106,25
104,105,27
120,156,29
120,155,67
120,154,42
120,153,172
120,152,16
120,151,5
120,150,16
112,129,4
112,128,10
112,125,5
135,117,2
112,122,10
112,121,3
135,113,2
120,148,182
120,147,22
120,146,32
120,142,83
120,141,190
120,140,230
112,118,4
112,117,7
135,107,37
135,106,8
112,113,236
135,104,39
151,155,12
151,152,8
120,139,269
151,150,3
120,138,7
120,137,12
120,136,62
120,135,26
120,134,8
120,132,4
120,131,493
120,130,26
112,109,5
112,101,139
151,146,4
151,144,16
151,141,5
120,129,1487
120,128,5
120,127,40
120,126,114
120,125,10
120,122,3
120,121,104
151,139,9
151,136,115
151,134,4
151,133,73
120,119,802
151,131,11
120,118,393
120,117,623
120,116,70
120,113,9
120,112,11
120,110,3
151,129,7
151,127,19
151,126,14
151,125,118
151,123,11
120,109,4
151,120,7
120,107,295
120,106,190
120,105,276
120,104,18
120,102,1
120,101,1
151,119,28
151,117,22
151,113,4
151,109,12
151,107,12
151,106,11
139,156,15
139,155,118
139,154,732
139,153,29
139,152,77
139,150,17
116,156,45
116,155,3
139,148,51
139,147,55
116,154,4
139,146,40
116,153,45
116,150,501
139,142,398
139,141,43
139,140,23
116,148,9
116,146,3
139,138,12
139,137,4
139,136,83
139,134,8
116,141,73
139,133,9
139,132,4
139,131,298
139,130,24
147,155,3
147,154,11
147,153,11
147,152,172
116,139,1
147,150,8
139,129,478
139,128,2
139,127,85
139,126,731
139,125,66
116,132,4
116,131,6
139,124,26
139,123,5
116,130,26
139,122,8
139,121,278
139,120,1032
147,148,1242
124,155,5
124,154,95
147,145,16
124,152,80
147,142,11
116,129,20
147,141,32
147,140,59
116,126,1
139,119,533
139,118,1043
139,117,560
139,116,7
139,113,8
116,120,11
139,112,7
139,111,12
139,110,54
124,148,8
101,154,5
101,153,2
147,139,30
101,152,10
147,137,299
101,150,2
147,136,5
124,142,223
116,119,25
147,131,16
116,118,3
116,117,3
139,109,14
139,107,53
139,106,62
139,105,63
139,101,26
155,154,5
101,148,1311
155,153,82
101,147,294
155,152,10
155,151,7
124,139,44
101,145,42
155,150,13
147,129,540
124,136,23
147,128,180
124,134,15
101,140,40
147,126,13
147,125,2
147,122,14
147,121,753
147,120,94
116,107,6
116,106,9
116,105,3
116,104,40
155,148,20
155,147,8
132,153,5
155,146,275
101,139,16
132,150,175
101,137,18
155,142,28
101,136,2
155,141,41
124,129,21
101,135,3
124,127,3
124,126,1
147,119,14
147,118,58
124,125,2
147,117,129
124,121,5
147,113,183
124,120,22
147,112,12
147,111,5
132,148,3
155,139,56
155,138,110
155,136,72
155,135,1
101,129,38
155,134,5
132,141,20
101,128,498
101,127,1
155,132,5
155,131,330
124,119,23
155,130,14
124,118,14
124,117,33
101,122,119
101,121,21
147,107,32
101,120,11
147,106,28
147,105,845
147,104,2
124,111,62
124,110,51
147,102,4
147,101,314
155,129,81
155,127,659
155,126,183
155,125,5
132,131,14
132,130,4
101,118,7
155,123,13
101,117,12
155,122,34
124,109,1
155,120,205
124,107,4
101,113,523
124,106,2
101,112,194
140,156,1
140,154,5
140,150,5
132,129,7
155,119,683
132,125,5
155,118,41
155,117,227
155,116,13
132,120,5
101,107,8
101,106,3
101,105,501
101,104,1
140,148,252
140,147,35
140,141,4
132,119,9
132,116,16
155,107,25
155,106,43
155,105,15
155,101,5
140,139,6
140,137,3
140,135,3
140,131,10
140,130,4
132,107,7
132,106,84
132,104,17
140,129,112
140,128,11
140,123,5
140,121,15
140,120,97
140,119,16
140,118,14
140,117,31
140,116,2
140,113,18
140,110,15
140,107,9
140,106,6
140,105,204
140,101,13
128,152,10
128,150,1
128,148,1034
105,155,10
128,147,217
105,154,15
105,153,28
128,145,18
105,152,13
105,150,5
128,140,38
105,148,1725
105,147,266
105,146,6
128,139,3
105,145,12
128,137,12
105,142,1
128,135,5
105,141,49
105,140,462
136,156,5
136,155,130
136,154,19
136,153,5
136,152,29
136,151,130
105,139,13
136,150,38
105,137,30
128,129,56
105,136,7
105,135,10
128,126,12
105,131,15
105,130,4
128,122,290
128,121,16
128,120,12
136,148,16
113,154,4
136,147,12
136,146,41
136,145,4
113,152,17
136,144,40
113,151,5
113,150,4
136,142,488
136,141,9
105,129,896
136,140,1
105,128,125
105,127,2
128,118,10
128,117,6
105,122,100
105,121,99
128,113,36
105,120,144
128,112,13
113,148,578
113,147,185
136,139,107
136,138,19
113,145,141
136,137,7
113,142,6
136,134,325
136,133,11
113,140,42
136,132,2
136,131,138
105,119,15
136,130,5
105,118,61
105,117,90
105,116,28
128,107,16
128,106,14
105,113,100
128,105,464
105,112,6
128,101,364
144,155,2
113,139,1
144,151,9
113,137,139
136,129,63
113,136,6
113,135,5
136,128,2
136,127,149
136,126,423
136,125,170
136,124,27
136,123,15
136,122,4
136,121,21
136,120,144
105,107,34
105,106,53
105,104,39
105,102,101
105,101,152
121,155,2
121,154,230
121,153,10
121,152,272
121,150,2
144,142,1
113,129,49
113,128,57
136,119,187
136,118,36
113,125,1
136,117,169
113,122,31
113,121,20
136,113,11
113,120,17
136,112,17
136,111,15
136,110,9
121,148,516
121,147,670
144,136,39
121,142,18
144,134,3
121,141,15
121,140,31
144,133,10
144,131,1
113,118,11
113,117,6
136,109,149
136,107,38
136,106,58
136,105,8
113,112,371
136,104,5
136,101,8
152,154,1072
152,153,9
121,139,284
152,151,13
152,150,12
121,137,41
121,136,16
121,135,4
144,125,132
121,131,36
121,130,5
144,123,9
113,109,5
113,107,21
113,106,15
113,105,366
113,102,5
113,101,1027
152,148,106
152,147,201
152,145,1
152,142,50
121,129,719
152,141,11
152,140,3
121,128,19
121,127,30
121,126,13
121,125,5
121,124,2
121,122,11
121,120,357
144,111,7
152,139,101
152,137,311
152,136,24
152,134,17
152,131,50
121,119,44
152,130,5
121,118,439
121,117,324
121,116,3
144,109,59
121,113,13
121,112,15
152,129,146
152,128,10
152,127,14
152,126,8
152,125,1
152,124,104
152,122,7
152,121,322
152,120,89
121,107,17
121,106,26
121,105,331
121,102,4
121,101,27
109,155,11
109,153,2
109,152,1
109,151,13
109,150,12
152,119,32
152,118,46
152,117,41
152,116,4
152,113,22
152,112,8
152,111,47
152,110,6
109,148,4
109,144,61
109,142,19
152,107,17
152,106,20
152,105,29
152,101,16
109,139,19
109,136,111
109,134,19
109,133,11
109,131,9
117,156,9
117,155,263
117,154,34
117,153,82
117,152,21
117,151,11
117,150,30
109,129,15
109,127,6
109,126,9
109,125,111
109,123,11
109,120,2
117,148,405
117,147,89
117,146,171
117,145,4
117,144,7
117,142,123
117,141,98
117,140,48
109,119,15
109,118,5
109,117,20
109,113,4
109,112,5
148,156,5
148,154,14
148,153,32
148,152,55
117,139,341
148,150,12
117,138,38
117,137,10
117,136,86
117,135,7
117,134,17
117,133,3
117,132,11
117,131,1532
117,130,17
109,107,3
109,106,9
125,155,12
148,147,251
148,145,18
125,151,89
148,142,8
148,141,34
117,129,1861
148,140,566
117,128,11
117,127,227
117,126,158
117,125,34
117,124,17
117,123,14
117,122,6
117,121,194
117,120,2776
125,147,3
148,139,26
148,137,38
125,144,123
148,136,11
148,135,177
125,142,34
148,134,1
125,141,6
148,131,19
117,119,2032
148,130,18
117,118,864
117,116,21
117,113,12
117,112,21
117,111,1
156,154,1
156,153,12
102,148,12
125,139,72
125,138,4
156,150,95
148,129,427
125,136,130
148,128,204
148,127,9
125,134,22
102,140,7
148,126,16
125,133,151
148,125,2
125,132,10
125,131,20
148,123,5
125,130,1
148,122,302
148,121,102
117,109,15
148,120,116
117,107,128
117,106,196
117,105,293
117,104,3
117,101,17
156,148,5
133,155,3
156,146,5
133,152,4
133,151,68
125,129,13
156,141,9
125,127,42
148,119,28
125,126,24
148,118,53
148,117,97
125,124,9
148,116,9
125,123,137
125,121,5
148,113,136
125,120,24
148,112,27
148,111,4
156,139,1
133,144,4
133,142,2
102,129,8
102,128,2
125,119,21
156,131,22
156,130,8
125,118,6
125,117,37
148,107,74
148,106,74
125,113,4
125,112,3
148,105,796
148,104,28
125,111,4
148,102,6
148,101,256
110,146,5
156,129,9
133,136,20
110,142,59
156,126,5
110,140,15
102,118,1
125,109,114
156,120,4
125,107,17
125,106,32
141,156,3
141,155,12
141,153,537
141,152,4
110,139,56
141,150,11
110,136,1
133,127,2
110,134,16
156,119,9
133,125,170
110,131,11
156,117,10
133,123,50
156,116,24
133,120,5
102,105,87
141,148,19
141,147,10
141,142,12
110,129,3
110,126,4
133,119,5
133,118,3
133,117,6
110,124,48
156,107,22
156,106,9
141,139,8
141,132,14
141,131,15
110,119,38
141,130,12
110,118,23
110,117,1
133,109,11
133,106,4
141,129,47
141,127,5
141,126,8
141,123,5
141,121,15
141,120,27
141,119,31
141,118,11
141,117,18
141,116,96
141,107,7
141,106,195
141,105,9
141,104,6
129,156,31
129,155,44
129,154,40
129,153,134
129,152,63
129,150,20
106,156,1
129,148,1097
106,155,19
129,147,225
106,154,13
129,146,51
106,153,134
129,145,4
106,152,10
129,144,3
106,151,2
106,150,29
129,142,55
129,141,215
129,140,258
106,148,65
106,147,9
106,146,5
129,139,212
129,138,12
129,137,23
129,136,24
129,135,17
106,142,7
129,134,12
106,141,311
106,140,4
129,132,14
129,131,570
129,130,75
137,154,13
137,153,3
137,152,331
106,139,27
106,138,1
137,150,5
106,137,3
106,136,27
129,128,47
106,135,17
129,127,48
129,126,72
129,125,6
106,132,48
129,124,15
106,131,31
106,130,9
129,122,31
129,121,248
129,120,2709
137,148,130
137,147,317
137,145,331
137,142,4
106,129,121
137,141,11
137,140,13
106,127,13
129,119,953
106,126,18
129,118,306
106,125,17
129,117,967
129,116,82
106,123,9
106,121,4
129,113,21
106,120,58
129,112,9
129,111,3
129,110,1
137,138,2
137,136,12
137,134,5
106,119,48
137,131,8
106,118,15
137,130,13
106,117,55
129,109,1
106,116,19
106,115,2
129,107,263
129,106,312
106,113,2
129,105,1206
129,104,23
106,111,5
129,102,13
129,101,20
145,154,2
145,152,7
137,129,51
137,128,22
137,122,2
106,109,3
137,121,53
137,120,36
106,107,22
106,105,14
106,104,69
106,101,2
145,148,83
122,155,30
145,147,24
122,153,4
122,152,3
145,142,6
137,119,9
137,118,52
137,117,22
137,116,5
137,113,185
137,112,15
122,148,598
122,147,7
122,145,6
145,137,331
145,136,2
122,141,4
145,134,2
122,140,6
137,107,20
137,106,10
137,105,74
137,101,21
153,155,58
153,154,5
153,152,1
122,139,7
153,150,21
122,136,6
145,129,7
145,128,35
122,131,1
145,122,10
130,155,4
153,148,10
153,146,5
130,153,14
130,152,3
153,144,5
130,150,63
153,142,3
153,141,261
122,129,29
153,140,5
122,128,181
122,126,1
122,121,10
122,120,7
145,113,217
145,112,40
145,111,4
130,148,13
153,139,13
153,136,2
130,142,8
130,141,14
153,131,10
122,119,6
153,130,9
122,117,12
145,107,7
122,113,14
122,112,3
145,105,50
145,101,68
130,139,16
130,138,7
130,137,14
130,136,3
153,129,28
153,127,5
130,134,7
153,126,2
130,131,5
153,122,5
153,121,3
122,109,1
153,120,13
122,107,2
122,105,127
122,104,7
122,101,44
130,129,26
130,127,9
153,119,25
153,118,23
153,117,15
153,116,53
130,121,4
130,120,6
153,111,4
130,119,9
130,118,3
130,117,1
130,116,14
153,106,38
153,105,5
130,107,2
130,106,11
118,156,6
118,155,80
118,154,27
118,153,45
118,152,18
118,151,3
118,150,16
118,148,185
118,147,78
118,146,39
118,145,9
118,142,166
118,141,42
118,140,35
118,139,722
118,138,22
118,137,52
118,136,31
118,135,5
118,134,7
118,132,5
118,131,431
118,130,5
126,155,169
126,154,24
126,153,35
126,152,7
126,151,1
126,150,7
118,129,778
118,128,6
118,127,81
118,126,364
118,125,10
118,124,9
118,122,6
118,121,400
118,120,1601
126,148,31
126,147,20
126,146,88
126,144,1
126,142,69
126,141,33
118,119,498
118,117,1212
118,116,11
118,113,6
118,112,15
118,110,36
126,139,362
126,138,53
126,137,1
126,136,172
126,134,7
126,131,140
126,130,7
118,109,1
118,107,39
118,106,52
118,105,181
118,101,21
134,155,9
134,152,10
134,150,5
126,129,96
126,128,15
126,127,143
126,125,14
126,124,7
126,123,5
126,122,6
126,121,12
126,120,224
134,148,8
134,147,5
134,146,2
111,153,8
111,152,26
134,144,8
134,142,194
134,141,2
126,119,145
126,118,247
126,117,155
126,116,4
126,112,7
126,111,1
134,139,21
134,137,3
134,136,252
111,142,13
134,131,19
134,130,7
126,109,8
126,107,34
126,106,54
126,105,13
126,101,5
142,156,9
142,155,46
142,154,212
142,153,14
142,152,55
111,139,4
142,151,5
142,150,30
111,136,13
134,129,8
111,134,5
134,127,8
134,126,12
134,125,24
111,131,2
134,124,13
134,120,21
142,148,27
142,147,14
142,146,23
142,144,5
142,141,24
142,140,12
111,126,2
134,119,14
111,125,13
134,118,1
111,124,50
134,117,32
134,116,5
134,113,3
134,110,9
142,139,554
142,138,16
142,137,5
142,136,478
142,135,4
142,134,226
142,133,5
142,132,1
142,131,198
142,130,18
111,117,11
134,109,19
134,107,10
134,106,16
134,101,5
150,156,127
150,155,1
150,154,43
150,153,29
150,151,2
142,129,153
142,127,56
142,126,177
142,125,30
142,124,205
142,123,10
142,122,1
142,121,30
142,120,476
111,106,6
150,142,7
150,141,22
142,119,278
142,118,191
142,117,262
142,116,15
142,113,6
142,112,15
142,111,17
142,110,54
150,139,3
150,137,5
150,135,69
150,132,113
150,131,7
150,130,88
142,109,8
142,107,44
142,106,35
142,105,10
142,104,2
150,129,6
150,127,5
150,126,2
150,120,7
107,156,27
107,155,5
107,154,3
107,153,11
107,152,1
107,150,32
150,119,10
150,118,9
150,117,7
150,116,1370
150,115,8
107,148,59
107,147,6
107,146,7
107,142,16
107,141,27
107,140,8
150,109,9
150,107,102
150,106,27
150,105,4
150,104,750
138,155,14
138,154,2
138,153,6
107,139,13
107,136,8
107,135,31
107,131,31
107,130,8
138,146,76
115,150,6
138,141,1
107,129,92
