orgState,destState,flows
136,147,9
113,153,4
136,146,16
113,152,10
136,144,30
113,150,2
136,142,410
136,141,17
105,129,674
136,140,9
105,128,67
128,119,3
105,126,8
128,118,5
128,117,8
105,122,116
105,121,57
128,113,15
105,120,168
128,112,6
113,148,375
113,147,164
136,139,75
136,138,12
113,145,151
136,137,4
113,142,3
136,134,284
136,133,27
113,140,77
136,131,34
105,119,20
136,130,12
105,118,63
105,117,121
105,116,21
128,107,3
128,106,7
105,113,23
128,105,156
105,112,10
128,104,4
105,110,9
128,101,259
144,151,2
113,139,6
113,137,98
136,129,28
113,136,11
113,135,2
136,127,46
136,126,119
136,125,152
136,124,14
136,123,7
113,130,5
136,122,6
136,121,7
136,120,23
105,107,32
105,106,41
105,104,41
105,102,74
105,101,88
121,155,14
121,154,195
121,153,18
121,152,181
121,150,9
144,142,9
113,129,36
113,128,22
136,119,40
113,126,5
136,118,20
136,117,81
136,116,5
113,122,21
113,121,18
136,113,5
113,120,7
136,112,9
136,111,30
136,110,8
121,148,360
121,147,528
121,145,2
144,136,14
121,142,21
121,141,15
144,134,4
121,140,127
113,119,2
113,118,8
113,117,6
136,109,98
136,107,29
136,106,28
136,105,3
113,112,228
113,111,4
136,101,4
152,154,563
152,153,18
152,151,8
121,139,247
152,150,8
121,137,25
121,136,8
121,135,4
121,134,3
144,125,99
121,131,24
144,123,5
121,130,9
113,109,4
113,107,8
113,106,6
113,105,98
113,104,5
113,101,660
152,148,75
152,147,168
152,142,45
121,129,277
152,141,13
121,128,18
152,140,15
121,127,16
121,126,18
121,124,6
121,122,10
121,120,109
152,139,49
152,138,11
152,137,260
152,136,15
152,134,9
152,131,25
121,119,24
152,130,2
121,118,382
121,117,234
121,116,5
144,109,45
144,106,1
121,113,14
121,112,9
121,111,4
152,129,63
152,128,4
152,126,10
152,124,67
152,122,2
152,121,199
152,120,47
121,107,25
121,106,25
121,105,133
121,104,13
121,101,33
109,155,3
109,151,13
109,150,3
152,119,17
152,118,58
152,117,16
152,116,3
152,113,16
152,112,15
152,111,46
109,144,40
109,142,17
152,107,11
152,106,8
152,105,10
152,101,7
109,139,8
109,136,74
109,134,16
109,133,5
109,131,1
117,156,11
117,155,238
117,154,24
117,153,95
117,152,15
117,151,13
117,150,15
109,129,1
109,125,117
109,123,2
109,122,1
109,120,3
117,148,118
117,147,51
117,146,77
117,142,65
117,141,64
117,140,222
109,119,1
109,117,8
148,156,5
148,155,5
148,154,12
148,153,39
148,152,28
117,139,187
148,150,5
117,138,31
117,137,6
117,136,64
117,135,13
117,134,19
117,132,1
117,131,396
117,130,27
109,107,1
109,106,11
125,155,4
148,147,242
148,146,15
125,153,9
148,145,16
125,151,70
148,142,10
148,141,31
117,129,901
117,128,13
148,140,3112
117,127,165
117,126,154
117,125,25
117,124,12
117,122,24
117,121,140
117,120,513
125,148,7
148,139,19
148,137,26
125,144,105
148,136,19
148,135,256
125,142,22
148,132,7
148,131,19
117,119,824
148,130,27
117,118,714
117,116,19
117,113,6
117,112,20
117,111,10
156,154,9
156,153,13
102,148,20
125,139,45
125,138,8
156,150,186
148,129,228
125,136,104
148,128,153
148,127,6
125,134,31
148,126,13
125,133,118
102,140,10
125,131,4
148,123,9
148,122,277
148,121,120
117,109,4
148,120,74
117,107,103
117,106,126
117,105,163
117,104,5
117,102,3
117,101,20
133,155,1
156,146,19
133,151,55
156,141,4
125,129,11
125,127,9
148,119,25
125,126,11
148,118,48
148,117,53
125,124,4
148,116,12
125,123,136
148,113,99
125,120,5
148,112,19
148,110,6
110,152,2
133,144,4
156,137,1
133,142,1
102,129,13
125,119,5
156,131,40
125,118,1
156,130,33
125,117,26
148,107,93
148,106,96
148,105,626
125,112,4
148,104,70
125,111,13
148,102,4
148,101,255
110,148,4
133,136,14
156,129,19
110,142,55
156,127,1
156,126,5
110,140,17
102,118,4
102,117,4
125,109,92
156,120,18
125,107,5
125,106,20
125,105,1
141,156,6
141,155,14
141,153,433
141,152,2
110,139,53
141,150,23
110,136,5
110,134,6
133,126,2
156,119,14
133,125,138
156,117,10
133,123,49
156,116,91
102,105,72
141,148,14
141,147,3
141,146,7
141,142,6
110,129,6
141,140,12
133,117,2
110,124,25
156,107,45
156,106,15
141,139,17
141,138,2
141,137,4
141,136,3
141,132,3
110,119,21
141,131,32
110,118,33
141,130,16
133,109,1
141,129,59
141,127,10
141,126,2
141,125,1
141,122,10
141,121,10
141,120,48
141,119,24
141,118,14
141,117,22
141,116,172
141,115,2
141,107,14
141,106,244
141,105,17
141,104,11
129,156,38
129,155,35
129,154,21
129,153,192
129,152,31
129,150,14
106,156,4
129,148,438
106,155,12
129,147,87
106,154,16
129,146,63
106,153,95
106,152,7
106,151,2
106,150,29
129,142,27
129,141,149
129,140,1508
106,148,41
106,147,9
129,139,119
106,146,18
129,138,33
129,137,13
129,136,27
129,135,17
106,142,19
129,134,4
106,141,223
106,140,32
129,132,6
129,131,420
129,130,85
137,154,25
137,153,23
137,152,303
106,139,29
106,138,1
137,150,26
106,136,29
129,128,38
106,135,5
129,127,52
129,126,58
129,125,3
106,132,37
129,124,12
106,131,21
106,130,19
129,122,42
129,121,125
129,120,1691
137,148,99
137,147,228
137,145,328
137,142,7
106,129,94
137,141,11
137,140,26
106,127,10
129,119,614
106,126,20
129,118,191
106,125,19
129,117,683
129,116,114
106,123,7
106,122,1
106,121,6
129,113,14
106,120,58
129,112,13
129,111,2
129,110,11
137,139,6
137,138,3
137,136,9
137,131,7
106,119,54
106,118,21
137,130,12
106,117,46
106,116,27
106,115,6
129,107,285
129,106,238
129,105,802
129,104,17
129,102,11
129,101,10
145,154,3
145,152,5
145,150,7
137,129,32
137,128,14
137,126,1
137,124,8
137,122,2
106,109,4
137,121,37
137,120,11
106,107,29
106,105,19
106,104,41
106,101,8
145,148,71
122,155,37
145,147,15
122,152,2
137,119,7
137,118,25
137,117,8
137,116,22
137,113,152
137,112,19
137,111,3
122,148,372
122,147,10
145,137,302
145,136,5
122,141,4
122,140,16
137,107,16
137,106,7
137,105,62
137,101,24
153,156,5
153,155,65
153,154,10
153,152,9
122,139,2
153,150,16
122,137,4
122,136,7
122,135,1
145,128,2
145,127,5
145,124,2
145,122,8
130,156,25
153,148,20
130,155,15
153,147,9
153,146,7
130,153,33
130,152,4
130,150,51
153,142,12
153,141,376
122,129,20
153,140,17
122,128,128
122,127,9
122,126,6
122,120,9
145,113,179
145,112,25
130,148,16
130,147,1
130,146,2
153,139,19
153,138,11
153,137,3
153,136,6
153,135,1
130,142,21
130,141,25
130,140,11
153,132,3
122,119,7
153,131,24
122,118,8
153,130,19
122,117,9
145,107,4
122,113,10
145,105,18
122,112,5
145,101,38
130,139,28
130,138,16
130,137,12
130,136,2
153,129,53
153,127,33
153,126,21
130,131,18
153,123,8
153,122,5
122,109,5
153,121,10
153,120,58
122,106,9
122,105,87
122,104,3
122,101,19
130,129,34
130,127,32
130,126,11
153,119,27
153,118,29
153,117,22
153,116,225
130,121,5
130,120,22
153,112,5
153,111,8
130,119,24
130,118,3
130,117,13
130,116,45
153,107,10
153,106,115
153,105,10
153,102,7
130,107,15
130,106,21
130,105,3
130,101,3
118,156,8
118,155,49
118,154,28
118,153,67
118,152,25
118,150,11
118,148,75
118,147,66
118,146,26
118,142,112
118,141,35
118,140,117
118,139,531
118,138,73
118,137,13
118,136,23
118,135,5
118,134,7
118,131,144
118,130,8
126,156,6
126,155,199
126,154,18
126,153,91
126,152,13
126,150,14
118,129,282
118,128,7
118,127,46
118,126,268
118,124,4
118,122,8
118,121,272
118,120,291
126,148,15
126,147,15
126,146,38
126,142,54
126,141,32
126,140,6
118,119,128
118,117,710
118,116,25
118,113,15
118,112,10
118,110,40
126,139,322
126,138,30
126,137,4
126,136,108
126,134,5
126,131,32
126,130,15
118,107,33
118,106,59
118,105,108
118,104,5
118,101,21
134,155,5
134,154,2
134,152,3
134,150,5
126,129,57
126,128,8
126,127,96
126,125,15
126,123,9
126,122,10
126,121,13
126,120,35
111,153,8
111,152,36
134,144,5
134,142,169
126,119,50
126,118,204
126,117,180
126,116,21
126,112,3
126,111,2
134,139,16
134,136,193
111,142,13
134,131,1
134,130,5
126,109,4
126,107,30
126,106,41
126,105,7
126,104,4
126,101,6
142,156,2
142,155,21
142,154,178
142,153,30
142,152,44
111,139,1
142,150,1
111,136,14
134,129,7
134,127,2
134,126,1
134,125,20
134,124,11
134,120,1
142,148,15
142,147,9
142,146,6
142,144,15
111,129,3
142,141,21
142,140,10
134,119,3
111,125,5
134,118,12
111,124,62
134,117,11
134,112,1
134,111,3
134,110,6
142,139,463
142,138,15
142,137,12
142,136,469
142,135,3
142,134,232
142,133,3
142,131,45
142,130,27
111,117,2
134,109,17
134,107,5
134,106,9
111,112,5
150,156,371
150,155,4
150,154,15
150,153,20
150,152,1
142,129,39
142,127,23
142,126,66
142,125,25
142,124,213
142,123,13
142,121,14
142,120,79
111,106,6
150,141,41
150,140,1
142,119,44
142,118,132
142,117,97
142,116,3
142,113,2
142,112,11
142,111,4
142,110,44
150,139,7
150,137,8
150,136,14
150,135,29
150,132,120
150,131,13
150,130,55
142,109,14
142,107,35
142,106,38
142,105,3
142,104,1
142,101,9
150,129,5
150,127,3
150,126,13
150,122,4
150,120,15
107,156,46
107,155,19
107,154,11
107,153,36
107,152,6
107,150,137
150,119,20
150,118,2
150,117,15
150,116,1559
150,115,6
107,148,89
107,147,14
107,146,10
107,142,19
107,141,35
107,140,61
150,109,2
150,107,134
150,106,51
150,104,220
138,155,56
138,154,1
138,153,50
138,152,1
107,139,35
107,138,5
107,137,4
107,136,11
107,135,81
107,131,145
107,130,18
138,148,2
138,147,2
138,146,142
115,150,13
138,142,6
107,129,117
138,141,24
